id,created_at,is_active,marked_as_signal_by_id,order_id,problem_id,product_code,quantity,user_id
37330,25/2/2023 08:08,1,,2402671,8,117043,1,98101
37393,26/2/2023 14:38,1,,2407116,31,903218,1,150003
37436,27/2/2023 17:23,1,,2403847,1,908484,1,143615
37502,28/2/2023 19:08,1,,2408782,6,907968,1,152687
37546,1/3/2023 20:54,1,,2415420,41,,,143615
37644,3/3/2023 19:15,1,,2419116,31,900373,1,152687
37695,5/3/2023 10:29,1,,2424461,31,001946,1,152687
38121,16/3/2023 16:48,1,,2451534,6,004407,0.74,152687
38175,18/3/2023 08:48,1,,2458137,8,510082,1,98101
38358,22/3/2023 18:46,1,,2464624,1,507703,1,173673
38359,22/3/2023 18:46,1,,2464624,1,901863,0.984,173673
38360,22/3/2023 18:46,1,,2464624,1,504511,1.73,173673
38363,22/3/2023 18:59,1,,2470202,3,906578,1,173673
38455,25/3/2023 11:08,1,,2476015,15,401070,1,172241
38531,27/3/2023 08:47,1,,2480632,45,909405,1,152687
38658,29/3/2023 16:02,1,,2486238,15,509675,0.6,172241
38698,30/3/2023 20:19,1,,2490379,31,403968,2.952,152687
39013,7/4/2023 16:01,1,,2507867,15,507653,2,123348
39217,13/4/2023 12:10,1,,2526691,3,045500,1,172241
39238,13/4/2023 20:23,1,,2527092,1,189201,1,152687
39240,13/4/2023 21:20,1,,2527603,3,603340,1,152687
39327,17/4/2023 09:54,1,,2531700,1,909624,0.89,172241
39422,19/4/2023 18:59,1,,2541089,1,004311,1,143615
39587,24/4/2023 19:32,1,,2553225,3,510195,0.312,98101
39588,24/4/2023 19:32,0,,2553225,6,,,98101
39589,24/4/2023 19:34,1,,2553225,6,,,98101
39757,28/4/2023 19:34,1,,2563431,8,561368,1,172241
39806,29/4/2023 21:55,1,,2565834,21,,,150003
39919,3/5/2023 17:27,1,,2573696,33,900607,1,172241
39946,4/5/2023 11:52,1,,2574611,21,,,98101
39994,5/5/2023 17:29,1,,2579472,1,500015,1,143615
40007,5/5/2023 20:24,0,,2580827,8,008864,0.2,143615
40099,9/5/2023 21:47,1,,2590584,12,,,98101
40103,10/5/2023 08:39,1,,2589704,15,505135,5,152687
40119,10/5/2023 16:29,1,,2591894,6,,,152687
40238,13/5/2023 15:50,1,,2598549,3,037103,1,98101
40356,16/5/2023 09:55,1,,2606295,12,510120,2,150003
40403,17/5/2023 15:39,0,,2607324,39,,,98101
40469,18/5/2023 19:08,1,,2607014,1,507696,4,98101
40511,19/5/2023 21:06,1,,2615704,8,160366,1,173673
40581,22/5/2023 15:06,1,,2622255,3,504273,1,98101
40705,26/5/2023 17:48,1,,2616660,1,507696,1,172241
40706,26/5/2023 17:48,1,,2616660,15,905251,1,172241
40794,29/5/2023 08:50,1,,2635981,1,189368,1,173673
40908,1/6/2023 13:05,0,,2644940,7,503676,0.8,98101
40909,1/6/2023 13:10,1,,2644940,7,503676,0.854,98101
41022,4/6/2023 16:53,0,,2650432,4,,,143615
41046,5/6/2023 15:32,1,,2653879,21,,,172241
41110,8/6/2023 08:12,1,,2660263,44,102216,1,152687
41224,11/6/2023 07:42,1,,2659977,25,909780,1,123348
41225,11/6/2023 07:42,1,,2659977,25,909781,3,123348
41266,12/6/2023 14:45,1,,2671218,1,505925,1,143615
41309,13/6/2023 17:38,1,,2674556,3,906578,1,172241
41358,15/6/2023 08:14,1,,2675770,15,509894,1,143615
41564,20/6/2023 09:13,0,,2688501,1,506386,1.49,152687
41565,20/6/2023 09:14,1,,2688501,1,506386,2,152687
41652,23/6/2023 18:04,1,,2697379,3,,,173673
41653,23/6/2023 18:04,1,,2697379,3,506125,1.048,173673
41654,23/6/2023 18:04,1,,2697379,3,403968,0.916,173673
41685,24/6/2023 18:47,1,,2697102,21,,,152687
41686,24/6/2023 19:06,1,,2681108,25,,,152687
41687,24/6/2023 19:06,1,,2681108,41,,,152687
41752,26/6/2023 14:53,1,,2689635,33,508461,1,98101
41841,29/6/2023 13:09,1,,2709794,3,910408,1,152687
41863,29/6/2023 20:09,1,,2710494,42,,,98101
41932,2/7/2023 09:36,1,,2713173,36,,,143615
41933,2/7/2023 09:36,1,,2713173,4,,,143615
41945,2/7/2023 14:44,1,,2715937,1,507543,0.926,123348
41970,3/7/2023 12:44,1,,2718016,7,507145,1.652,185843
41972,3/7/2023 15:43,1,,2718518,1,004400,1.118,173673
41973,3/7/2023 15:44,1,,2718518,1,004428,1.172,173673
41974,3/7/2023 15:44,1,,2718518,1,504644,1.246,173673
42064,5/7/2023 19:05,1,,2723004,6,,,143615
42337,14/7/2023 09:48,1,,2740582,15,908325,1,150003
42442,17/7/2023 17:35,0,,2749469,39,,,98101
42443,17/7/2023 17:35,0,,2749469,21,,,98101
42444,17/7/2023 17:35,0,,2749469,21,,,98101
42687,25/7/2023 17:55,1,,2766125,15,903038,0.428,143615
42753,27/7/2023 10:57,1,,2770817,3,700208,1,173673
42757,27/7/2023 13:32,1,,2771137,39,505616,1,185843
42771,27/7/2023 17:32,1,,2771308,6,,,185843
43177,7/8/2023 21:31,1,,2796709,41,,,152687
43178,7/8/2023 21:31,1,,2796709,30,,,152687
43194,8/8/2023 16:13,1,,2789169,15,906889,1,173673
43213,9/8/2023 08:17,1,,2797497,15,507651,1,150003
43214,9/8/2023 08:17,1,,2797497,1,503401,1,150003
43274,10/8/2023 20:06,1,,2803319,8,909326,1,143615
43364,13/8/2023 11:29,1,,2806352,21,,,143615
43378,13/8/2023 17:49,1,,2809017,25,911130,1,123348
43654,21/8/2023 17:36,1,,2827277,39,912036,1,152687
43655,21/8/2023 17:36,1,,2827277,39,037854,1,152687
43706,22/8/2023 21:15,1,,2830182,41,,,150003
43958,29/8/2023 14:00,1,319395,2842865,41,,,98101
43964,29/8/2023 15:12,1,,2842233,3,037103,1,143615
44010,30/8/2023 13:13,1,,2845734,3,001437,1,185843
44012,30/8/2023 13:20,0,,2845734,3,001437,1,143615
44141,2/9/2023 09:55,1,,2853548,41,,,152687
44212,4/9/2023 11:22,0,,2857509,1,403554,1,143615
44213,4/9/2023 12:17,1,,2858417,8,911806,1,98101
44214,4/9/2023 12:17,1,,2858417,1,911396,1,98101
44215,4/9/2023 13:34,1,,2857509,1,403554,1,143615
44440,10/9/2023 19:15,1,,2874151,13,901467,0.27,173673
44626,15/9/2023 18:40,0,,2886372,8,907475,1,185843
44720,18/9/2023 08:27,1,,2891522,1,912165,0.905,152687
44882,21/9/2023 18:33,1,,2901171,39,,,98101
45092,26/9/2023 19:25,1,,2914658,1,402304,0.367,150003
45100,26/9/2023 21:22,1,,2914113,1,000241,0.88,150003
45367,2/10/2023 13:54,1,,2925686,49,104067,1,143615
45434,3/10/2023 20:52,1,,2927725,49,911564,1,98101
45500,5/10/2023 12:02,1,,2937117,13,011267,12,195261
45671,9/10/2023 13:47,0,,2948893,39,,,152687
45950,16/10/2023 09:18,1,,2966963,32,901645,1,143615
46074,18/10/2023 08:43,1,,2972959,8,115003,1,152687
46079,18/10/2023 12:37,1,,2973089,39,909572,1,195261
46193,20/10/2023 11:16,1,,2979088,13,506767,1,173673
46284,22/10/2023 13:52,1,,2983812,12,,,143615
46290,22/10/2023 15:21,0,,2985472,21,,,143615
46653,29/10/2023 16:37,1,,3005033,8,902996,2,173673
46654,29/10/2023 16:37,1,,3005033,8,904367,1,173673
46755,31/10/2023 18:19,1,,3011208,1,912896,1,185843
46827,2/11/2023 11:44,1,,3014524,3,906578,1,123348
46862,2/11/2023 20:48,1,,3010309,15,504318,1,143615
46934,4/11/2023 14:02,1,,3002783,31,901972,2,152687
47045,6/11/2023 17:50,1,,3028737,39,,,98101
47145,9/11/2023 16:10,1,,3029371,1,500316,1,98101
47340,13/11/2023 12:08,1,,3049336,42,,,98101
47400,14/11/2023 15:49,1,,3053520,21,,,98101
47554,17/11/2023 21:05,1,,3062789,31,505872,1,152687
47595,18/11/2023 18:07,1,,3065468,3,503419,1,195261
47607,18/11/2023 21:09,1,,3065088,20,,,152687
47645,19/11/2023 15:37,0,,3068426,21,,,152687
47703,20/11/2023 13:41,1,,3071156,1,905057,1.058,185843
47800,22/11/2023 08:28,1,,3075683,49,004522,1,201476
47801,22/11/2023 08:28,1,,3075683,1,004468,1,201476
47805,22/11/2023 09:57,1,,3074670,1,004400,9.232,201476
47992,25/11/2023 13:38,1,,3086211,49,504488,5,201476
48054,26/11/2023 13:15,1,,3089994,21,,,195261
48055,26/11/2023 13:48,1,,3090068,31,903050,1,185843
48067,26/11/2023 14:57,1,,3089451,6,907024,4,195261
48207,28/11/2023 14:30,1,,3096941,3,909677,1,143615
48290,29/11/2023 20:45,1,,3098087,21,,,173673
48472,2/12/2023 19:45,1,,3112333,12,903920,1,202538
48646,5/12/2023 19:51,1,,3119877,1,604043,1,143615
48755,7/12/2023 17:07,0,,3128851,50,004400,1.77,201476
48763,7/12/2023 19:53,1,,3129432,7,903049,1.06,201476
48778,8/12/2023 11:44,0,,3128851,7,004400,0.934,185843
48779,8/12/2023 11:47,1,319395,3128851,7,004400,0.934,185843
48998,12/12/2023 16:20,1,,3144663,8,055050,1,173673
49063,14/12/2023 12:33,1,,3150484,3,604016,1,152687
49659,23/12/2023 19:35,1,,3181524,3,102996,2,143615
49660,23/12/2023 19:35,1,,3181524,3,914035,1,143615
49690,24/12/2023 11:27,1,,3182037,1,000242,0.504,201476
49730,26/12/2023 07:53,1,,3180645,6,507148,0.79,202538
49755,27/12/2023 08:09,1,,3188452,3,905481,1,201476
49782,28/12/2023 09:39,1,,3193682,49,901869,4.008,201476
49830,29/12/2023 10:46,1,,3195025,1,902850,1,195261
49887,30/12/2023 12:11,1,,3198873,32,901147,1,201476
49934,30/12/2023 21:29,1,,3198873,1,507656,1,143615
